LOCATION,CSA,emp_change,emp_2017,emp_2018,emp_2019,emp_2020,emp_2021
"Ithaca-Cortland, NY CSA",296,1.7937219730941705,1133,1112,1118,1115,1135
"Jackson-Brownsville, TN CSA",297,-16.830065359477125,693,612,569,612,509
"Jackson-Vicksburg-Brookhaven, MS CSA",298,-22.38628649015614,6531,6289,6241,5892,4573
"Jacksonville-St. Marys-Palatka, FL-GA CSA",300,3.4498275086245687,12657,12989,12871,13334,13794
"Johnson City-Kingsport-Bristol, TN-VA CSA",304,-10.804109103790294,3373,3328,2931,2823,2518
"Johnstown-Somerset, PA CSA",306,-10.86398631308811,1320,1227,1243,1169,1042
"Kalamazoo-Battle Creek-Portage, MI CSA",310,-14.892501310959622,2656,2434,2176,1907,1623
"Jonesboro-Paragould, AR CSA",308,-14.561855670103094,738,699,755,776,663
"Joplin-Miami, MO-OK CSA",309,-27.083333333333332,1024,1200,1141,1056,770
"Kansas City-Overland Park-Kansas City, MO-KS CSA",312,-13.465309200603318,30134,31877,29456,26520,22949
"Knoxville-Morristown-Sevierville, TN CSA",314,-1.6989215541438913,7570,7185,6852,6769,6654
"Kokomo-Peru, IN CSA",316,-20.22792022792023,392,386,369,351,280
"Lafayette-Opelousas-Morgan City, LA CSA",318,-7.5297733384556285,3125,3097,3183,2603,2407
"Lafayette-West Lafayette-Frankfort, IN CSA",320,-17.084282460136674,993,943,859,878,728
"Lake Charles-Jennings, LA CSA",324,2.626970227670753,868,807,689,571,586
"Lansing-East Lansing-Owosso, MI CSA",330,-7.153925619834711,3796,4041,3925,3872,3595
"Las Vegas-Henderson, NV-AZ CSA",332,-5.585264408793821,13914,15736,15983,15147,14301
"Lexington-Fayette--Richmond--Frankfort, KY CSA",336,-19.628408750374586,6423,7111,6913,6674,5364
"Little Rock-North Little Rock, AR CSA",340,0.42807455631855884,11926,12252,11709,11213,11261
"Lima-Van Wert-Celina, OH CSA",338,-10.456852791878173,1124,992,927,985,882
"Lincoln-Beatrice, NE CSA",339,-7.8595651306602825,5001,5015,4691,5013,4619
"Longview-Marshall, TX CSA",346,-9.939498703543649,1109,1116,1076,1157,1042
"Los Angeles-Long Beach, CA CSA",348,-1.6481155430149033,264868,271970,257197,262967,258633
"Louisville/Jefferson County--Elizabethtown--Madison, KY-IN CSA",350,-5.277319677111362,14006,13735,12842,11521,10913
"Lubbock-Levelland, TX CSA",352,-2.4929775280898876,2916,3342,3216,2848,2777
"Macon-Bibb County--Warner Robins, GA CSA",356,-25.74816487859966,1923,2021,2291,1771,1315
"Madison-Janesville-Beloit, WI CSA",357,-4.226750508250201,20675,21205,21608,21151,20257
"Manhattan-Junction City, KS CSA",358,-11.993097497842967,1110,1249,1555,1159,1020
"Martin-Union City, TN-KY CSA",362,-17.479674796747968,302,283,315,246,203
"Mankato-New Ulm-North Mankato, MN CSA",359,-6.681852695520122,1479,1491,1315,1317,1229
"Mansfield-Ashland-Bucyrus, OH CSA",360,-21.11111111111111,903,963,849,900,710
"McAllen-Edinburg, TX CSA",365,-9.978515158749104,3506,4053,4081,4189,3771
"Medford-Grants Pass, OR CSA",366,-13.688212927756654,1542,1498,1432,1578,1362
"Memphis-Forrest City, TN-MS-AR CSA",368,-16.306129137987547,7081,6504,6593,6102,5107
"Miami-Fort Lauderdale-Port St. Lucie, FL CSA",370,-11.444312181424166,59888,62376,66171,65526,58027
"Midland-Odessa, TX CSA",372,-22.235797189981675,1684,1686,1902,1637,1273
"Milwaukee-Racine-Waukesha, WI CSA",376,-10.597313518148042,19547,19984,18150,17495,15641
"Minneapolis-St. Paul, MN-WI CSA",378,-2.2900921420436897,49913,51376,49278,48295,47189
"Monroe-Ruston-Bastrop, LA CSA",384,-15.694551036070607,3338,3112,2770,2606,2197
"Mobile-Daphne-Fairhope, AL CSA",380,-14.673760851302156,3840,3986,3591,3571,3047
"Modesto-Merced, CA CSA",382,-27.148128624143386,1896,2115,2289,1897,1382
"Morgantown-Fairmont, WV CSA",390,-15.479452054794521,876,767,744,730,617
"Moses Lake-Othello, WA CSA",393,-2.3923444976076556,335,396,425,418,408
"Mount Pleasant-Alma, MI CSA",394,-23.56687898089172,362,364,322,314,240
